Zeros,Poles,k
(-0.8432388249865312-0.3658001593808711j),0.0,0.0
(-0.05184592772197033+0.9254373338409136j),0.0,0.0
(-0.07507596050074186+0.9236624380910367j),0.0,0.0
(-0.02857388348234117+0.9266301025501216j),0.0,0.0
(-0.8340107300301156+0.3869397827981664j),0.0,0.0
(-0.14436903339314394+0.9148592847222841j),0.0,0.0
(-0.1672862504253977+0.9107719880483017j),0.0,0.0
(-0.651629627796994+0.6523928625190417j),0.0,0.0
(-0.6182601818610356+0.6845479256538549j),0.0,0.0
(-0.6009732527074422+0.6999899018963445j),0.0,0.0
(-0.5832994222289354+0.71499489613058j),0.0,0.0
(-0.5280697474911329+0.7572933962281734j),0.0,0.0
(-0.5089626198197875+0.7704573373280011j),0.0,0.0
(-0.36670879506455883+0.848675036296439j),0.0,0.0
(-0.4497183433388039+0.8070246515696595j),0.0,0.0
(-0.42937076900038+0.818212928061671j),0.0,0.0
(-0.21276388098466242-0.900883649586825j),0.0,0.0
(-0.5468361280273945-0.7436558111278497j),0.0,0.0
(-0.6351492245015065-0.6686788562546049j),0.0,0.0
(-0.8031131258088355-0.44890606475598716j),0.0,0.0
(-0.7546981332869436-0.5276279809567154j),0.0,0.0
(-0.19008928972697528+0.9061124254886517j),0.0,0.0
(-0.25767102347835924+0.888732449430538j),0.0,0.0
(-0.23529582918874212+0.8950890695686705j),0.0,0.0
(-0.27987544592066393+0.8818179058229567j),0.0,0.0
(-0.34532547861758855+0.8577731401102364j),0.0,0.0
(-0.4697745654801214+0.795330919951858j),0.0,0.0
(-0.5468361280344504+0.7436558111283246j),0.0,0.0
(-0.6676908761737026+0.6357003886867729j),0.0,0.0
(-0.683322695691065+0.61861214994854j),0.0,0.0
(-0.8031131258081927+0.4489060647567451j),0.0,0.0
(-0.7917672078778012+0.46903099933198067j),0.0,0.0
(-0.7799106877829102+0.488868278008643j),0.0,0.0
(-0.7413588679658922+0.5465251070621072j),0.0,0.0
(-0.7275425450057404+0.5650839744772679j),0.0,0.0
(-0.754698133288195+0.5276279809535782j),0.0,0.0
(-0.3878529446408788+0.8390447933160603j),0.0,0.0
(-0.3237164202318839+0.8663332638854352j),0.0,0.0
(-0.6985150579884756+0.6011391282525322j),0.0,0.0
(-0.8139406721707831+0.42850677844067087j),0.0,0.0
(-0.7132581836651044+0.5832925683868528j),0.0,0.0
(-0.6351492244972107+0.668678856251342j),0.0,0.0
(-0.6985150579856584-0.6011391282451962j),0.0,0.0
(-0.7675515766713136-0.5084048641448335j),0.0,0.0
(-0.09824947021911326+0.9213066635419137j),0.0,0.0
(-0.12135197530700377+0.9183716213339558j),0.0,0.0
(-0.30189518020351597+0.8743499057220483j),0.0,0.0
(-0.4087446459233537+0.8288885876847492j),0.0,0.0
(-0.7675515766699252+0.5084048641431356j),0.0,0.0
(-0.09824947021981081-0.9213066635416124j),0.0,0.0
(-0.4697745654800004-0.7953309199496995j),0.0,0.0
(-0.48952680658787673+0.7831392155856602j),0.0,0.0
(-0.5652499027355903+0.7295533041569016j),0.0,0.0
(-0.21276388098558047+0.9008836495864362j),0.0,0.0
(0.11112651664984761-0.9215379646074264j),0.0,0.0
(-0.3878529446436815-0.8390447933159313j),0.0,0.0
(0.18036765962866805+0.9111433087680332j),0.0,0.0
(-0.0052743602106063246+0.9272398594402579j),0.0,0.0
(0.08790766445350573+0.9238438067880927j),0.0,0.0
(-0.30189518020359685-0.8743499057231096j),0.0,0.0
